spot_check_kind,neutral_case_id,neutral_row_id,semantic_role,file_path,chatgpt_label,claude_label,human_verdict,notes
disagreement,AI-CASE-001,AI-ROW-0001,omitted_candidate_file,cms/cache/choices.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-001,AI-ROW-0005,omitted_candidate_file,cms/models/apphooks_reload.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-001,AI-ROW-0007,omitted_candidate_file,cms/utils/__init__.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-001,AI-ROW-0009,omitted_candidate_file,cms/models/contentmodels.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-001,AI-ROW-0011,omitted_candidate_file,cms/admin/pageadmin.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-002,AI-ROW-0020,omitted_candidate_file,cms/cache/page.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-002,AI-ROW-0023,omitted_candidate_file,cms/utils/page.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-002,AI-ROW-0026,omitted_candidate_file,cms/cache/__init__.py,3_incidental_tangled,4_not_determinable,,
disagreement,AI-CASE-003,AI-ROW-0033,omitted_candidate_file,cms/plugin_pool.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-003,AI-ROW-0035,omitted_candidate_file,cms/plugin_base.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-003,AI-ROW-0037,omitted_candidate_file,cms/cms_plugins.py,1_required,4_not_determinable,,
disagreement,AI-CASE-003,AI-ROW-0039,omitted_candidate_file,cms/plugin_processors.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-004,AI-ROW-0047,omitted_candidate_file,cms/admin/forms.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-004,AI-ROW-0048,omitted_candidate_file,cms/middleware/language.py,2_related_optional,4_not_determinable,,
disagreement,AI-CASE-004,AI-ROW-0054,omitted_candidate_file,cms/utils/__init__.py,3_incidental_tangled,4_not_determinable,,
disagreement,AI-CASE-004,AI-ROW-0061,omitted_candidate_file,cms/utils/admin.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-005,AI-ROW-0068,omitted_candidate_file,cms/utils/permissions.py,3_incidental_tangled,4_not_determinable,,
disagreement,AI-CASE-006,AI-ROW-0076,omitted_candidate_file,menus/menu_pool.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-006,AI-ROW-0082,omitted_candidate_file,cms/wizards/urls.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-006,AI-ROW-0085,historical_changed_file,cms/models/pagemodel.py,1_required,2_related_optional,,
disagreement,AI-CASE-006,AI-ROW-0086,omitted_candidate_file,cms/utils/admin.py,2_related_optional,4_not_determinable,,
disagreement,AI-CASE-006,AI-ROW-0090,omitted_candidate_file,cms/models/managers.py,2_related_optional,4_not_determinable,,
disagreement,AI-CASE-006,AI-ROW-0091,omitted_candidate_file,cms/extensions/admin.py,2_related_optional,4_not_determinable,,
disagreement,AI-CASE-006,AI-ROW-0092,historical_changed_file,cms/admin/permissionadmin.py,2_related_optional,3_incidental_tangled,,
