run_id,strategy_id,scenario_id,status,first_failure_class,class_label,evidence_stage,root_cause
todo-smoke-001_iterative_repository_agent_rep1_d9fb5715,iterative_repository_agent,todo-smoke-001,failed,D,syntax_static_validation,regeneration,artifact_contract_violation: todo/models.py: python_syntax_error: line=34 offset=5 msg=expected an indented block after class definition on line 33; response_sha256=c314ec89b7007dd14e1e0a7649d600b2...
todo-smoke-001_iterative_repository_agent_rep2_a72ee0cf,iterative_repository_agent,todo-smoke-001,failed,C,exact_patch_application,regeneration,"exact_patch_failed: todo/serializers.py: block 2: SEARCH content is ambiguous, matched 3 times; search='fields = ['"
todo-smoke-001_iterative_repository_agent_rep3_cda87f13,iterative_repository_agent,todo-smoke-001,failed,D,syntax_static_validation,regeneration,artifact_contract_violation: todo/models.py: python_syntax_error: line=34 offset=5 msg=expected an indented block after class definition on line 33; response_sha256=097d339d4726e93fc57e53f9e6f6ebb4...
todo-smoke-001_iterative_repository_agent_rep4_7b67bd25,iterative_repository_agent,todo-smoke-001,failed,D,syntax_static_validation,regeneration,artifact_contract_violation: todo/models.py: python_syntax_error: line=34 offset=5 msg=expected an indented block after class definition on line 33; response_sha256=097d339d4726e93fc57e53f9e6f6ebb4...
todo-smoke-001_iterative_repository_agent_rep5_d53177c5,iterative_repository_agent,todo-smoke-001,failed,D,syntax_static_validation,regeneration,artifact_contract_violation: todo/models.py: python_syntax_error: line=34 offset=5 msg=expected an indented block after class definition on line 33; response_sha256=124aa52c85e78e40dc05765f90cce14b...
todo-smoke-001_impact_plan_rep1_0b0c1df0,impact_plan,todo-smoke-001,failed,C,exact_patch_application,regeneration,"exact_patch_failed: todo/models.py: block 2: SEARCH content not found in current file (count=0); search='status = models.CharField(max_length=20, choices=Status.choices, default=Status.'"
todo-smoke-001_impact_plan_rep2_470072be,impact_plan,todo-smoke-001,failed,C,exact_patch_application,regeneration,"exact_patch_failed: todo/models.py: block 2: SEARCH content not found in current file (count=0); search='status = models.CharField(max_length=20, choices=Status.choices, default=Status.'"
todo-smoke-001_impact_plan_rep3_211f6767,impact_plan,todo-smoke-001,failed,D,syntax_static_validation,regeneration,artifact_contract_violation: todo/models.py: python_syntax_error: line=34 offset=5 msg=expected an indented block after class definition on line 33; response_sha256=5decfe871bb88af33573c8c2968030bb...
todo-smoke-001_impact_plan_rep4_f347af3f,impact_plan,todo-smoke-001,failed,D,syntax_static_validation,regeneration,artifact_contract_violation: todo/models.py: python_syntax_error: line=34 offset=5 msg=expected an indented block after class definition on line 33; response_sha256=5decfe871bb88af33573c8c2968030bb...
todo-smoke-001_impact_plan_rep5_785ca41e,impact_plan,todo-smoke-001,failed,D,syntax_static_validation,regeneration,artifact_contract_violation: todo/models.py: python_syntax_error: line=34 offset=5 msg=expected an indented block after class definition on line 33; response_sha256=097d339d4726e93fc57e53f9e6f6ebb4...
todo-smoke-002_iterative_repository_agent_rep1_c608e09e,iterative_repository_agent,todo-smoke-002,failed,F,functional_evaluator,scenario_evaluator,"Scenario evaluator failed; checks: soft_delete_retains_row, soft_delete_sets_timestamp, default_manager_excludes_deleted, normal_list_excludes_deleted, deleted_detail_is_404; error: deleted_action_..."
todo-smoke-002_iterative_repository_agent_rep2_6f1678fe,iterative_repository_agent,todo-smoke-002,failed,C,exact_patch_application,regeneration,"exact_patch_failed: todo/models.py: block 2: SEARCH content is ambiguous, matched 3 times; search='    def __str__(self):'"
todo-smoke-002_iterative_repository_agent_rep3_3700cc24,iterative_repository_agent,todo-smoke-002,failed,F,functional_evaluator,scenario_evaluator,"Scenario evaluator failed; checks: soft_delete_retains_row, soft_delete_sets_timestamp, default_manager_excludes_deleted, normal_list_excludes_deleted, deleted_detail_is_404; error: deleted_action_..."
todo-smoke-002_iterative_repository_agent_rep4_81a8f03d,iterative_repository_agent,todo-smoke-002,failed,C,exact_patch_application,regeneration,"exact_patch_failed: todo/models.py: block 3: SEARCH content is ambiguous, matched 3 times; search='    def __str__(self):'"
todo-smoke-002_iterative_repository_agent_rep5_61e674ac,iterative_repository_agent,todo-smoke-002,failed,F,functional_evaluator,scenario_evaluator,"Scenario evaluator failed; checks: soft_delete_retains_row, soft_delete_sets_timestamp, default_manager_excludes_deleted, normal_list_excludes_deleted, deleted_detail_is_404; error: deleted_action_..."
todo-smoke-002_impact_plan_rep1_81420272,impact_plan,todo-smoke-002,failed,F,functional_evaluator,scenario_evaluator,Scenario evaluator failed before escalation
todo-smoke-002_impact_plan_rep2_abaf4b98,impact_plan,todo-smoke-002,failed,F,functional_evaluator,scenario_evaluator,Scenario evaluator failed before escalation
todo-smoke-002_impact_plan_rep3_38ed2661,impact_plan,todo-smoke-002,failed,F,functional_evaluator,scenario_evaluator,Scenario evaluator failed before escalation
todo-smoke-002_impact_plan_rep4_2bd119f8,impact_plan,todo-smoke-002,failed,F,functional_evaluator,scenario_evaluator,Scenario evaluator failed before escalation
todo-smoke-002_impact_plan_rep5_7d4747ea,impact_plan,todo-smoke-002,failed,A,selection_control,analyze_impact,impact_plan_planner_error: planner response not JSON (finish_reason=error): Unterminated string starting at: line 106 column 25 (char 3721)
todo-smoke-003_iterative_repository_agent_rep1_9aed4cbd,iterative_repository_agent,todo-smoke-003,failed,E,migration_runtime,migration_generation,Migration failed: exit=3; stdout: Field 'owner' on model 'project' not migrated: it is impossible to add a non-nullable field without specifying a default. ; stderr:  [post-generation validation] e...
todo-smoke-003_iterative_repository_agent_rep2_a98d1b90,iterative_repository_agent,todo-smoke-003,failed,E,migration_runtime,migration_generation,Migration failed: exit=3; stdout: Field 'owner' on model 'project' not migrated: it is impossible to add a non-nullable field without specifying a default. ; stderr:  [post-generation validation] e...
todo-smoke-003_iterative_repository_agent_rep3_367e52eb,iterative_repository_agent,todo-smoke-003,failed,C,exact_patch_application,regeneration,"exact_patch_failed: todo/views.py: block 2: SEARCH content is ambiguous, matched 2 times; search='    def perform_create(self, serializer):'"
todo-smoke-003_iterative_repository_agent_rep4_94912c4b,iterative_repository_agent,todo-smoke-003,failed,E,migration_runtime,migration_generation,Migration failed: exit=3; stdout: Field 'owner' on model 'project' not migrated: it is impossible to add a non-nullable field without specifying a default. ; stderr:  [post-generation validation] e...
todo-smoke-003_iterative_repository_agent_rep5_da2b3a63,iterative_repository_agent,todo-smoke-003,failed,C,exact_patch_application,regeneration,"exact_patch_failed: todo/views.py: block 2: SEARCH content is ambiguous, matched 2 times; search='permission_classes = [IsProjectMember]'"
todo-smoke-003_impact_plan_rep1_778932d2,impact_plan,todo-smoke-003,failed,C,exact_patch_application,regeneration,"exact_patch_failed: todo/permissions.py: block 2: SEARCH content is ambiguous, matched 3 times; search='return request.user and request.user.is_authenticated'"
todo-smoke-003_impact_plan_rep2_4d506ba1,impact_plan,todo-smoke-003,failed,D,syntax_static_validation,regeneration,artifact_contract_violation: todo/serializers.py: python_syntax_error: line=17 offset=56 msg=unmatched ')'; response_sha256=f6ba0acc62d27efba8bb5553c030a413cd02dcdf5bbcbc53232196475a27ff9b response...
todo-smoke-003_impact_plan_rep3_805d53a3,impact_plan,todo-smoke-003,failed,C,exact_patch_application,regeneration,"exact_patch_failed: todo/views.py: block 2: SEARCH content is ambiguous, matched 2 times; search='    def perform_create(self, serializer):'"
todo-smoke-003_impact_plan_rep4_831a34c6,impact_plan,todo-smoke-003,failed,C,exact_patch_application,regeneration,"exact_patch_failed: todo/views.py: block 4: SEARCH content is ambiguous, matched 2 times; search='permission_classes = [IsProjectMember]'"
todo-smoke-003_impact_plan_rep5_36e3f3e8,impact_plan,todo-smoke-003,failed,E,migration_runtime,migration_generation,Migration failed before escalation
