id,name,category,year,venue_or_source,mechanism,evidence,datasets,metrics,cost,relation_to_us,novelty_threat,idea_to_test,status,notes
RIPPLE,change_propagation_ripple_effect_analysis,PEER-REVIEWED_classical_line,1972-2021,classical_SE_literature_(Haney_1972;_Black_2001;_ripple_effect_metrics),"Change-impact analysis: propagating a changed entity to its dependents (ripple effect) over dependency/call graphs.","Classical SE line; many works (ripple-effect metric, change-impact models). No single canonical modern 'RIPPLE' system.","Java/Python OSS (varies by work).","Precision/recall of impact sets; ripple-effect size.","No LLM; static/dynamic analysis cost.","Directly comparable to our parent-only dependency-graph expansion (B3 Graph@K) and to the proposed graph escalation arm.","MEDIUM - change-propagation is a classical adjacent line; ours is intent-conditioned selection on real commits with an explicit budget gate.","Test: change-propagation-style closure (multi-hop reachability over the frozen graph) as a cheap B3-graph alternative on TRAIN/VALIDATION.","SEEDED - concept verified; no single canonical system; cite the classical line","No canonical single 'RIPPLE' paper/venue; the row means the ripple-effect/change-propagation analysis line. Verified the classical basis only."
repository_memory,RepoCoder_RepoAgent_memory_conditioned_generation,PEER-REVIEWED,2023-2024,EMNLP_2023_(RepoCoder_arXiv_2303.12570);_RepoAgent_arXiv_2402.16670,"Iterative retrieval-generation pipeline with a repository memory (similarity-based retriever + code LM); clones-like memory conditioning.","RepoCoder verified (EMNLP 2023): repo-level code completion, >10% over in-file baseline on RepoEval.","RepoEval (line/API/function completion).","pass@1 / completion accuracy; memory ablation.","Many LLM calls (retrieval + generation iterations).","Adjacent to the planner/agent line and to memory-conditioned iteration; our snapshot-conditioned cheap ranking is the zero-LLM counterpart.","MEDIUM - memory-conditioned iteration is established; not a direct threat to cost-aware escalation.","Test: none immediately; monitor as a stronger LLM baseline under a fresh confirmatory protocol.","VERIFIED - primary source checked (arXiv 2303.12570, EMNLP 2023)","'Repository Memory' row mapped to RepoCoder (verified). RepoAgent (arXiv 2402.16670) still SEEDED. Reid & Neubig ICML 2024 repo-prompt work noted."
adaptive_k,adaptive_top-k_and_adaptive_kNN,CROSS-DOMAIN-INSPIRATION,2020-2026,IR/RAG/_adaptive-kNN_literature;_(Shichao_Zhang_TKDE_2021;_Adaptive_kNN_Graph_arXiv_2601.16509),"Query-adaptive retrieval depth / query-specific neighborhood size instead of a fixed K.","Shichao Zhang KNN line verified (Challenges in KNN TKDE 2022; One-step TKDE 2021; Adaptive kNN graph 2026). IR/RAG adaptive retrieval is a known pattern (no single primary source).","KNN/IR/RAG benchmarks.","Accuracy vs cost; K distribution.","Varies.","Directly motivates 'K is an operating-point curve, not a final configuration' and the adaptive-K rules in the omission-risk study.","LOW-MEDIUM - adaptive-k is a known pattern; our contribution is applying it to repository change localization under an explicit budget.","Test: fixed-K vs adaptive-K routing on TRAIN/VALIDATION (done in omission-risk study v1: no benefit over fixed-10).","SEEDED - pattern verified via the Zhang line; no single IR primary source pinned","Cross-domain: retrieval literature, not repository-localization-specific."
LocAgent,Graph-guided_localization_agent,PEER-REVIEWED_(shared-protocol),2025,arXiv_2025_(upstream_pin_4935b557),"Graph-guided agent: dynamic AST+call graph, search/fix phases; localization file ranking as found_files.","Direct evidence (P5-B/P5-C): 10/10 held-out, 5 empty, 402 calls/32.8M tokens/$9.93 est.","djangoCMS real commits (shared protocol); upstream SWE-bench-style.","F1 0.333 (common evaluator); Acc@1 4/10, Acc@3 4/10, Acc@5 2/10.","HIGH: 402 calls, ~$9.93 est vs $0.36 P1.","Primary external comparator under the shared protocol.","HIGH - the graph-guided agent is the natural 'strong' baseline for selective escalation; cost is the differentiator.","Test: reuse as the expensive verifier in a future selective-escalation design (not now).","VERIFIED (direct evidence)","Pinned upstream commit 4935b557326c154bad8e8dcf3747cc8d32d1f387."
GraphLocator,GraphLocator_causal_issue_graph_localization,PEER-REVIEWED,2026,FSE_2026_(arXiv_2512.22469;_DOI_10.1145/3797079),"LLM-based issue localization via a causal issue graph (CIG): symptom-vertex locating then dynamic CIG expansion over code dependency graphs; decomposes sub-issues, models causal dependencies.","Verified primary source: function-level recall/precision gains over retrieval baselines on Python+Java SWE-bench-style data; graph improves downstream issue resolution.","SWE-bench (Python+Java variants).","Function/file-level recall & precision; issue resolution.","Substantial (LLM reasoning + graph expansion).","Directly comparable to our graph-guided escalation arm and to the causal-expansion intuition behind omission-risk features; a strong close competitor.","HIGH - the closest graph-guided localization competitor to our selective-escalation line.","Test: contrast its causal-graph expansion intuition vs our cheap graph features; adopt causal-expansion as a future escalation design (documented; not executed).","VERIFIED - primary source checked","Corrects the previous CROSS-DOMAIN/bug-localization characterization: it is LLM-based causal graph reasoning for issue localization (FSE 2026)."
RepoGraph,RepoGraph_repo_level_code_graph_for_LLM,PEER-REVIEWED,2025,ICLR_2025_(arXiv_2410.14684),"Plug-in module managing a repository-level code graph (AST-derived) as guidance/navigation for AI software engineering; graph conditions agentic localization/generation.","Verified primary source: plugging RepoGraph into four SWE-bench methods boosts all; SOTA among open-source frameworks; CrossCodeEval extension.","SWE-bench; CrossCodeEval.","SWE-bench resolve; retrieval hit; task completion.","Graph build + LLM inference.","Directly comparable to our dependency-graph construction; their graph is a navigation aid for LLMs, ours is a frozen parent-only AST graph for cheap ranking/escalation.","MEDIUM - richer graph construction could inform our graph features; our cheap-seed finding already bounds graph-expansion value on the lexical signal.","Test: whether a richer graph (call+inheritance edges) changes B3/Hybrid/omission-risk graph features on TRAIN/VALIDATION.","VERIFIED - primary source checked","Corrects venue from 'ICSE 2024' to ICLR 2025 (arXiv comment)."
Agentless,Agentless_localization_then_repair,PREPRINT,2024,arXiv_2407.01489,"Decoupled two-phase pipeline: localize (file+line) then repair WITHOUT agentic search loops; each phase one LLM call.","Verified primary source: SWE-bench Lite 32.00% (96 fixes) at $0.70, highest among open-source agents at the time; SWE-bench Lite-S introduced.","SWE-bench Lite; SWE-bench Lite-S.","Resolve rate; cost/task.","~1/3 of agent cost (verified $0.70 on Lite).","Strong evidence that 'localize first, no agent loop' is competitive - the same philosophy as our sparse first pass + selective verification.","HIGH - 'agentless' localization-first is a direct conceptual competitor to graph/agent escalation being necessary.","Test: our BM25 first-pass + selective verification vs 'agentless-style' single-shot LLM localization on TRAIN/VALIDATION (fair-comparison boundary).","VERIFIED - primary source checked","arXiv 2407.01489 v2 (2024-10-29). Preprint; later venue status OPEN."
CodePlan,CodePlan_repo_level_edit_planning,PEER-REVIEWED,2024,FSE_2024_(DOI_10.1145/3643757),"Repository-level edit planning: build/edit dependency plan from repository structure then per-file regeneration following the plan.","Verified primary source (PACMSE/FSE 2024, Microsoft Research): edit-plan validity, codebuildability, edit overlap on real commits.","87 commits across 3 repos (Java-centric).","Plan validity; edit overlap; buildability.","Planner LLM + per-file regeneration.","Directly comparable to our Full-v2/Sparse-v2 impact planning; both produce repository-level plans before edits.","MEDIUM - planning is a shared family; our contribution is the sparse representation + cost-aware escalation gate.","Test: compare plan-edit-overlap semantics with our sparse plans (development evidence only).","VERIFIED - primary source checked","DOI 10.1145/3643757; Proceedings of the ACM on Software Engineering (FSE 2024)."
RepoCoder,RepoCoder_iterative_retrieval_generation,PEER-REVIEWED,2023,EMNLP_2023_(arXiv_2303.12570),"Repository-level code completion via iterative retrieval-generation (similarity-based retriever + pretrained code LM); memory of already-generated code conditions later generation.","Verified primary source: >10% over in-file baseline in all settings; RepoEval benchmark introduced.","RepoEval (line/API/function body completion).","pass@1 / completion accuracy; retrieval ablations.","Many LLM calls.","Adjacent to RepoAgent/LocAgent line; memory-conditioned iteration vs our snapshot-conditioned cheap ranking.","MEDIUM - memory-conditioned iteration is established; not a direct threat to our cost-aware escalation.","Test: none immediately; monitor as a stronger LLM baseline under a fresh confirmatory protocol.","VERIFIED - primary source checked","Corrects wrong arXiv ID (was 2403.12595) to 2303.12570; venue EMNLP 2023 (was 'arXiv 2024')."
AutoCodeRover,Autonomous_program_improvement,PEER-REVIEWED,2024,ISSTA_2024_(DOI_10.1145/3650212.3680384),"Exploit-based repair: AST-level code search (API-based) + test-driven repair loop; bug localization via search.","Verified primary source (ISSTA 2024, NUS).","SWE-bench full/lite.","Resolve rate; cost.","Substantial (search + repair loops).","Another strong agentic/repair comparator; localization is a component.","MEDIUM - repair-focused, our scope is localization-only.","Test: none immediately (localization-only boundary); monitor for repair-benchmark positioning.","VERIFIED - primary source checked","Corrects venue from 'arXiv 2024 preprint' to ISSTA 2024."
RPG_ZeroRepo,RPG_ZeroRepo_repository_planning_graph_generation,PREPRINT,2025,ICLR_2026_(arXiv_2509.16198),"RPG: Repository Planning Graph blueprint for long-horizon codebase generation; ZeroRepo is the graph-driven generation framework (proposal planning -> implementation -> graph-guided generation with test validation).","Verified primary source (Microsoft).","RepoCraft benchmark (repository generation).","Repository generation success; scalability.","Substantial (multi-stage LLM generation).","Related to our impact-planning line via repository-wide structure, but the TASK is repository GENERATION, not change localization.","MEDIUM - generation vs localization are different tasks; the planning-graph idea is adjacent to our dependency-graph planning.","Test: none (different task); the repo-map/manifest-as-retrieval idea is better attributed to practical repo-map practice than to this paper.","VERIFIED - primary source checked","Corrects previous mischaracterization ('zero-shot repo QA via repo map'); actual task is repository generation. RepoCraft benchmark."
AB_RAG,agentic_or_adaptive_RAG,CROSS-DOMAIN-INSPIRATION,2024-2025,RAG_literature_(verify),"Agentic/adaptive retrieval-augmented generation: agent decides whether/when to retrieve and how many documents based on query confidence.","RAG efficiency/quality trade-offs (no single pinned primary source).","Various RAG/QA benchmarks.","Accuracy; retrieval count; latency/cost.","Retrieval + LLM calls.","Conceptual template for our selective-escalation gate.","LOW-MEDIUM - adaptive retrieval is a known pattern; direct inspiration for the risk-gated escalation design.","Test: risk-gate operating-point (AUROC/coverage curve) on TRAIN/VALIDATION (done in omission-risk study v1).","SEEDED - verify primary source","AB-RAG abbreviation ambiguous; adaptive-RAG concept used as design template only."

candidate_verification,omission_recovery_candidate_level_verification,SEEDED,2023-2026,selective_verification_/verification-router_literature,"Second-stage verification that revisits selected-or-omitted candidates under a bounded budget (verification routers, retrieval verification, candidate re-ranking),"No canonical single system pinned; relevant to the pre-registered Route B (candidate-level bounded omission verification),"djangoCMS (ours, future) / task localization sets,"FN recovery; cost per recovered FN; recall vs budget,"Varies (LLM verifier or static checks),"Direct template for Route B after the negative task-level RiskScorer result,"MEDIUM - generic second-stage verification is known; bounded/omission-aware variant is the candidate novelty,"Do NOT test now; design Route B protocol (candidate-level bounded verification) first,"SEEDED,"This row marks the omission-recovery/verification literature as the Route B substrate."
classical_cia_baseline,dependency_propagation_impact_baseline,IMPLEMENTED,2026-09-16,this_project_(Milestone_D),"BM25/path_token seeds -> 1-hop / 2-hop reverse-dependency closure over the parent-only graph; P/R/F1/FNR vs observed proxy,"Implemented: scripts/classical_cia_baseline_v1.py on 150 V2 dev cases (zero LLM),"djangoCMS V2 development (150 cases),"P/R/F1/FNR; selected count; graph build vs query cost separated,"Zero LLM cost,"Fair classical/static baseline; BM25/GRAPH@K strongest; closure arms weaker,"LOW-MEDIUM - classical change-impact is established; ours is intent-conditioned on real commits,"Do NOT change; keep as the classical baseline arm in the frozen comparison plan,"IMPLEMENTED (development evidence)","Run at K in {1,3,5,10} on 150 V2 development cases."
