search_id,date,query,target,results_notes,screened_in,status
S001,2026-09-16,"repository-level change impact analysis","RIPPLE / change-propagation impact analysis","Identify the canonical RIPPLE change-impact paper + venue.","repository-level change propagation; graph-based impact selection","OPEN - verify primary source"
S002,2026-09-16,"LLM repository memory code generation","RepoCoder / Repository Memory / RepoAgent","Retrieve and classify memory-conditioned generation papers (RepoCoder ACL2024, RepoAgent).","RepoCoder; RepoAgent; repository memory","OPEN - verify primary source"
S003,2026-09-16,"adaptive top-k retrieval","adaptive-k retrieval IR","Collect adaptive retrieval-depth works (cross-domain).","adaptive retrieval; adaptive top-k; FLARE","OPEN - verify primary source"
S004,2026-09-16,"graph-guided bug localization agents","LocAgent GraphLocator","LocAgent upstream pinned (we have direct evidence); find graph-localization comparators.","LocAgent (direct evidence); graph-based localization","VERIFIED - LocAgent direct; comparators OPEN"
S005,2026-09-16,"repo graph construction for LLM","RepoGraph","Verify RepoGraph ICSE 2024 construction + retrieval evidence.","RepoGraph (graph construction)","OPEN - verify primary source"
S006,2026-09-16,"agentless software engineering","Agentless SWE-bench","Verify Agentless localization-then-repair protocol + resolve rates.","Agentless (localization-first)","OPEN - verify primary source"
S007,2026-09-16,"repository-level code planning","CodePlan","Verify CodePlan edit-planning protocol (FSE 2024) + numbers.","CodePlan (plan-then-edit)","OPEN - verify primary source"
S008,2026-09-16,"exploit-based program repair","AutoCodeRover","Verify AutoCodeRover AST-search + repair loop + SWE-bench numbers.","AutoCodeRover (search+repair)","OPEN - verify primary source"
S009,2026-09-16,"zero-shot repository QA repo map","ZeroRepO / RPG","Verify ZeroRepO repo-map protocol + repo QA numbers.","ZeroRepO (repo map)","OPEN - verify primary source"
S010,2026-09-16,"adaptive RAG agents","AB-RAG / agentic RAG","Disambiguate AB-RAG abbreviation; collect adaptive RAG operating-point evidence.","adaptive RAG; agentic RAG","OPEN - verify primary source"
S011,2026-09-16,"Shichao Zhang KNN classification line","Challenges in KNN / One-step KNN / adaptive kNN graph","Verify the Shichao Zhang KNN line via arXiv + Crossref (primary bibliographic sources).","Challenges in KNN Classification (TKDE 2022, DOI 10.1109/TKDE.2021.3049250); KNN Classification with One-step Computation (TKDE 2021, arXiv 2012.06047); Reachable Distance Function for KNN (TKDE 2022, arXiv 2103.09704); Cost-sensitive KNN (Neurocomputing 2020, DOI 10.1016/j.neucom.2018.11.101); Adaptive kNN graph model (arXiv 2601.16509)","VERIFIED - primary sources checked (arXiv API + Crossref)"
S012,2026-09-16,"Agentless SWE-bench agentless","Agentless","Verify Agentless protocol + resolve rates via arXiv primary source.","Agentless (arXiv 2407.01489): SWE-bench Lite 32.00% (96 fixes), $0.70","VERIFIED - arXiv primary source"
S013,2026-09-16,"CodePlan repo-level coding planning","CodePlan","Verify CodePlan venue/numbers via Crossref.","CodePlan (FSE 2024 / PACMSE, DOI 10.1145/3643757, Microsoft Research)","VERIFIED - Crossref primary source"
S014,2026-09-16,"RepoCoder repository memory","RepoCoder / Repository Memory","Verify RepoCoder arXiv ID + venue.","RepoCoder (EMNLP 2023, arXiv 2303.12570; RepoEval benchmark)","VERIFIED - arXiv primary source"
S015,2026-09-16,"RepoGraph repository code graph","RepoGraph","Verify RepoGraph venue.","RepoGraph (ICLR 2025, arXiv 2410.14684; Ouyang et al.)","VERIFIED - arXiv primary source (comment: ICLR 2025)"
S016,2026-09-16,"AutoCodeRover autonomous repair","AutoCodeRover","Verify AutoCodeRover venue via Crossref.","AutoCodeRover (ISSTA 2024, DOI 10.1145/3650212.3680384, NUS)","VERIFIED - Crossref primary source"
S017,2026-09-16,"GraphLocator graph issue localization","GraphLocator","Verify GraphLocator mechanism/venue via web search.","GraphLocator (FSE 2026, arXiv 2512.22469, DOI 10.1145/3797079; causal issue graph CIG)","VERIFIED - arXiv + ACM primary sources"
S018,2026-09-16,"ZeroRepO / RPG repository generation","RPG / ZeroRepo","Verify RPG/ZeroRepo identity + task.","RPG: Repository Planning Graph (ICLR 2026, arXiv 2509.16198; Microsoft); ZeroRepo = repository generation framework (RepoCraft benchmark)","VERIFIED - arXiv primary source"
S019,2026-09-16,"RIPPLE / ripple-effect change propagation","RIPPLE","Determine whether a canonical 'RIPPLE' change-propagation system exists.","No canonical single 'RIPPLE' system; the row is the classical ripple-effect/change-propagation analysis line (Haney 1972, Black 2001, ripple-effect metrics)","SEEDED - concept verified; no canonical single system"
S020,2026-09-16,"repository-level prompt generation memory","Repository Memory (Reid & Neubig)","Map the 'Repository Memory' row to verified primary sources.","Mapped to RepoCoder (verified EMNLP 2023) + RepoAgent (arXiv 2402.16670, SEEDED); Reid & Neubig ICML 2024 repo-prompt work remains OPEN","PARTIAL - RepoCoder verified; Reid & Neubig OPEN"
